so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
   `)|( 	275k     	2200/2187                  	[   3  -7   2   0   1 ⟩                                                                                                        	 10.260	 -7.632      	 11    	 21          	 42.014
        	275S     	66825/65536                	[ -16   5   2   0   1 ⟩                                                                                                        	 33.720	  2.924      	 11    	 21          	 42.014
   `/|  	875C     	875/864                    	[  -5  -3   3   1 ⟩                                                                                                            	 21.902	 -4.349      	  7    	 22          	 42.535
        	875M     	17222625/16777216          	[ -24   9   3   1 ⟩                                                                                                            	 45.362	  6.207      	  7    	 22          	 42.535
        	1/29M    	65536/63423                	[  16  -7   0   0   0   0   0   0   0  -1 ⟩                                                                                    	 56.738	-10.494      	 29    	 29          	 46.722
        	29k      	59392/59049                	[  11 -10   0   0   0   0   0   0   0   1 ⟩                                                                                    	 10.027	-10.617      	 29    	 29          	 46.722
        	29S      	261/256                    	[  -8   2   0   0   0   0   0   0   0   1 ⟩                                                                                    	 33.487	 -0.062      	 29    	 29          	 46.722
        	19/7k    	1245184/1240029            	[  16 -11   0  -1   0   0   0   1 ⟩                                                                                            	  7.182	-11.442      	 19    	 26          	 46.796
    )|) 	19/7C    	57/56                      	[  -3   1   0  -1   0   0   0   1 ⟩                                                                                            	 30.642	 -0.887      	 19    	 26          	 46.796
        	19/7M    	30292137/29360128          	[ -22  13   0  -1   0   0   0   1 ⟩                                                                                            	 54.102	  9.669      	 19    	 26          	 46.796
    /|~ 	23/5S    	46/45                      	[   1  -2  -1   0   0   0   0   0   1 ⟩                                                                                        	 38.051	 -4.343      	 23    	 28          	 48.981
  ,,/|\ 	5/23M    	640/621                    	[   7  -3   1   0   0   0   0   0  -1 ⟩                                                                                        	 52.174	 -6.213      	 23    	 28          	 48.981
        	1/95C    	96/95                      	[   5   1  -1   0   0   0   0  -1 ⟩                                                                                            	 18.128	 -0.116      	 19    	 24          	 50.139
        	1/95S    	1594323/1556480            	[ -14  13  -1   0   0   0   0  -1 ⟩                                                                                            	 41.588	 10.439      	 19    	 24          	 50.139
        	95k      	16828965/16777216          	[ -24  11   1   0   0   0   0   1 ⟩                                                                                            	  5.332	 10.672      	 19    	 24          	 50.139
   )~|  	1/143C   	144/143                    	[   4   2   0   0  -1  -1 ⟩                                                                                                    	 12.064	  1.257      	 13    	 24          	 51.639
        	1/143S   	4782969/4685824            	[ -15  14   0   0  -1  -1 ⟩                                                                                                    	 35.524	 11.813      	 13    	 24          	 51.639
        	143k     	8444007/8388608            	[ -23  10   0   0   1   1 ⟩                                                                                                    	 11.396	  9.298      	 13    	 24          	 51.639
        	1/31C    	16777216/16474671          	[  24 -12   0   0   0   0   0   0   0   0  -1 ⟩                                                                                	 31.504	-13.940      	 31    	 31          	 53.389
  `(/|  	1/31M    	32/31                      	[   5   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                                	 54.964	 -3.384      	 31    	 31          	 53.389
   ,~|) 	31S      	248/243                    	[   3  -5   0   0   0   0   0   0   0   0   1 ⟩                                                                                	 35.261	 -7.171      	 31    	 31          	 53.389
        	3125k    	1600000/1594323            	[   9 -13   5 ⟩                                                                                                                	  6.154	-13.379      	  5    	 25          	 54.253
   `'|) 	3125C    	3125/3072                  	[ -10  -1   5 ⟩                                                                                                                	 29.614	 -2.823      	  5    	 25          	 54.253
        	3125M    	553584375/536870912        	[ -29  11   5 ⟩                                                                                                                	 53.074	  7.732      	  5    	 25          	 54.253
        	13/35k   	2302911/2293760            	[ -16  11  -1  -1   0   1 ⟩                                                                                                    	  6.893	 10.576      	 13    	 25          	 54.769
        	7/65S    	1792/1755                  	[   8  -3  -1   1   0  -1 ⟩                                                                                                    	 36.120	 -5.224      	 13    	 25          	 54.769
  ,./|  	91/5C    	91/90                      	[  -1  -2  -1   1   0   1 ⟩                                                                                                    	 19.130	 -3.178      	 13    	 25          	 54.769
  ,//|  	91/5S    	5373459/5242880            	[ -20  10  -1   1   0   1 ⟩                                                                                                    	 42.590	  7.378      	 13    	 25          	 54.769
        	5/91s    	23914845/23855104          	[ -18  14   1  -1   0  -1 ⟩                                                                                                    	  4.330	 13.733      	 13    	 25          	 54.769
  ,(/|  	65/7M    	65/63                      	[   0  -2   1  -1   0   1 ⟩                                                                                                    	 54.105	 -5.331      	 13    	 25          	 54.769
        	35/13C   	105/104                    	[  -3   1   1   1   0  -1 ⟩                                                                                                    	 16.567	 -0.020      	 13    	 25          	 54.769
        	35/13S   	55801305/54525952          	[ -22  13   1   1   0  -1 ⟩                                                                                                    	 40.027	 10.535      	 13    	 25          	 54.769
   ~~|  	11/49C   	99/98                      	[  -1   2   0  -2   1 ⟩                                                                                                        	 17.576	  0.918      	 11    	 25          	 54.898
