so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
        	323/11C  	661504/649539              	[  11 -10   0   0  -1   0   1   1 ⟩                                                                                            	 31.600	-11.946      	 19    	 47          	625.065
        	323/11M  	2907/2816                  	[  -8   2   0   0  -1   0   1   1 ⟩                                                                                            	 55.060	 -1.390      	 19    	 47          	625.065
        	11/323S  	720896/706401              	[  16  -7   0   0   1   0  -1  -1 ⟩                                                                                            	 35.165	 -9.165      	 19    	 47          	625.065
        	209/17S  	209/204                    	[  -2  -1   0   0   1   0  -1   1 ⟩                                                                                            	 41.921	 -3.581      	 19    	 47          	625.065
        	187/19S  	382976/373977              	[  11  -9   0   0   1   0   1  -1 ⟩                                                                                            	 41.165	-11.535      	 19    	 47          	625.065
        	1/10625M 	32768/31875                	[  15  -1  -4   0   0   0  -1 ⟩                                                                                                	 47.835	 -3.945      	 17    	 37          	627.170
        	10625S   	10625/10368                	[  -7  -4   4   0   0   0   1 ⟩                                                                                                	 42.390	 -6.610      	 17    	 37          	627.170
        	253/35k  	2072576/2066715            	[  13 -10  -1  -1   1   0   0   0   1 ⟩                                                                                        	  4.903	-10.302      	 23    	 46          	628.596
        	253/35C  	2277/2240                  	[  -6   2  -1  -1   1   0   0   0   1 ⟩                                                                                        	 28.363	  0.254      	 23    	 46          	628.596
        	253/35M  	1210091157/1174405120      	[ -25  14  -1  -1   1   0   0   0   1 ⟩                                                                                        	 51.823	 10.809      	 23    	 46          	628.596
        	161/55M  	41216/40095                	[   8  -6  -1   1  -1   0   0   0   1 ⟩                                                                                        	 47.739	 -8.939      	 23    	 46          	628.596
        	77/115k  	231/230                    	[  -1   1  -1   1   1   0   0   0  -1 ⟩                                                                                        	  7.511	  0.538      	 23    	 46          	628.596
        	77/115C  	122762871/120586240        	[ -20  13  -1   1   1   0   0   0  -1 ⟩                                                                                        	 30.971	 11.093      	 23    	 46          	628.596
        	115/77C  	20371905/20185088          	[ -18  11   1  -1  -1   0   0   0   1 ⟩                                                                                        	 15.949	 10.018      	 23    	 46          	628.596
        	55/161C  	28835840/28520667          	[  19 -11   1  -1   1   0   0   0  -1 ⟩                                                                                        	 19.026	-12.172      	 23    	 46          	628.596
        	55/161S  	165/161                    	[   0   1   1  -1   1   0   0   0  -1 ⟩                                                                                        	 42.486	 -1.616      	 23    	 46          	628.596
        	289/125M 	1156/1125                  	[   2  -2  -3   0   0   0   2 ⟩                                                                                                	 47.060	 -4.898      	 17    	 49          	631.816
        	125/289S 	8000/7803                  	[   6  -3   3   0   0   0  -2 ⟩                                                                                                	 43.165	 -5.658      	 17    	 49          	631.816
        	7007C    	7007/6912                  	[  -8  -3   0   2   1   1 ⟩                                                                                                    	 23.632	 -4.455      	 13    	 38          	632.576
        	7007M    	137918781/134217728        	[ -27   9   0   2   1   1 ⟩                                                                                                    	 47.092	  6.100      	 13    	 38          	632.576
        	49/145n  	25690112/25686315          	[  19 -11  -1   2   0   0   0   0   0  -1 ⟩                                                                                    	  0.256	-11.016      	 29    	 48          	635.941
        	49/145C  	147/145                    	[   0   1  -1   2   0   0   0   0   0  -1 ⟩                                                                                    	 23.716	 -0.460      	 29    	 48          	635.941
        	49/145M  	78121827/76021760          	[ -19  13  -1   2   0   0   0   0   0  -1 ⟩                                                                                    	 47.176	 10.095      	 29    	 48          	635.941
        	1/107C   	108/107                    	[   2   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩            	 16.105	  2.008      	107    	107          	636.056
        	1/107S   	14348907/14024704          	[ -17  15   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩            	 39.565	 12.564      	107    	107          	636.056
        	107k     	2106081/2097152            	[ -21   9   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩            	  7.355	  8.547      	107    	107          	636.056
        	221/55k  	221/220                    	[  -2   0  -1   0  -1   1   1 ⟩                                                                                                	  7.851	 -0.483      	 17    	 46          	637.762
        	221/55C  	117448461/115343360        	[ -21  12  -1   0  -1   1   1 ⟩                                                                                                	 31.311	 10.072      	 17    	 46          	637.762
        	187/65C  	47872/47385                	[   8  -6  -1   0   1  -1   1 ⟩                                                                                                	 17.702	 -7.090      	 17    	 46          	637.762
        	187/65S  	136323/133120              	[ -11   6  -1   0   1  -1   1 ⟩                                                                                                	 41.162	  3.466      	 17    	 46          	637.762
        	143/85C  	2814669/2785280            	[ -15   9  -1   0   1   1  -1 ⟩                                                                                                	 18.171	  7.881      	 17    	 46          	637.762
        	85/143k  	2295/2288                  	[  -4   3   1   0  -1  -1   1 ⟩                                                                                                	  5.289	  2.674      	 17    	 46          	637.762
        	85/143C  	1219657095/1199570944      	[ -23  15   1   0  -1  -1   1 ⟩                                                                                                	 28.749	 13.230      	 17    	 46          	637.762
        	55/221C  	29229255/28966912          	[ -17  12   1   0   1  -1  -1 ⟩                                                                                                	 15.609	 11.039      	 17    	 46          	637.762
        	5/83C    	20480/20169                	[  12  -5   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                	 26.491	 -6.631      	 83    	 88          	637.870
        	5/83M    	10935/10624                	[  -7   7   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                	 49.951	  3.924      	 83    	 88          	637.870
        	121/625M 	1936/1875                  	[   4  -1  -4   0   2 ⟩                                                                                                        	 55.426	 -4.413      	 11    	 42          	641.879
        	625/121S 	10000/9801                 	[   4  -4   4   0  -2 ⟩                                                                                                        	 34.799	 -6.143      	 11    	 42          	641.879
        	1/1075k  	262144/261225              	[  18  -5  -2   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                    	  6.080	 -5.374      	 43    	 53          	642.014
        	1/1075C  	2187/2150                  	[  -1   7  -2   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                    	 29.540	  5.181      	 43    	 53          	642.014
        	1/1595C  	131072/129195              	[  17  -4  -1   0  -1   0   0   0   0  -1 ⟩                                                                                    	 24.971	 -5.538      	 29    	 45          	642.431
        	1/1595M  	6561/6380                  	[  -2   8  -1   0  -1   0   0   0   0  -1 ⟩                                                                                    	 48.431	  5.018      	 29    	 45          	642.431
        	1/4025k  	2147483648/2139050025      	[  31 -12  -2  -1   0   0   0   0  -1 ⟩                                                                                        	  6.812	-12.419      	 23    	 40          	642.882
        	1/4025C  	4096/4025                  	[  12   0  -2  -1   0   0   0   0  -1 ⟩                                                                                        	 30.272	 -1.864      	 23    	 40          	642.882
        	1/4025M  	531441/515200              	[  -7  12  -2  -1   0   0   0   0  -1 ⟩                                                                                        	 53.732	  8.692      	 23    	 40          	642.882
        	11/665k  	2673/2660                  	[  -2   5  -1  -1   1   0   0  -1 ⟩                                                                                            	  8.440	  4.480      	 19    	 42          	643.449
        	7/1045C  	28672/28215                	[  12  -3  -1   1  -1   0   0  -1 ⟩                                                                                            	 27.816	 -4.713      	 19    	 42          	643.449
        	7/1045M  	137781/133760              	[  -7   9  -1   1  -1   0   0  -1 ⟩                                                                                            	 51.276	  5.843      	 19    	 42          	643.449
        	1463/5C  	1463/1440                  	[  -5  -2  -1   1   1   0   0   1 ⟩                                                                                            	 27.433	 -3.689      	 19    	 42          	643.449
        	1463/5M  	86388687/83886080          	[ -24  10  -1   1   1   0   0   1 ⟩                                                                                            	 50.893	  6.866      	 19    	 42          	643.449
        	665/11C  	1454355/1441792            	[ -17   7   1   1  -1   0   0   1 ⟩                                                                                            	 15.020	  6.075      	 19    	 42          	643.449
        	385/19n  	1540/1539                  	[   2  -4   1   1   1   0   0  -1 ⟩                                                                                            	  1.125	 -4.069      	 19    	 42          	643.449
        	385/19C  	2525985/2490368            	[ -17   8   1   1   1   0   0  -1 ⟩                                                                                            	 24.585	  6.486      	 19    	 42          	643.449
        	1/629C   	4194304/4126869            	[  22  -8   0   0   0   0  -1   0   0   0   0  -1 ⟩                                                                            	 28.061	 -9.728      	 37    	 54          	646.472
        	1/629M   	648/629                    	[   3   4   0   0   0   0  -1   0   0   0   0  -1 ⟩                                                                            	 51.521	  0.828      	 37    	 54          	646.472
        	629S     	20128/19683                	[   5  -9   0   0   0   0   1   0   0   0   0   1 ⟩                                                                            	 38.704	-11.383      	 37    	 54          	646.472
        	43/19k   	172/171                    	[   2  -2   0   0   0   0   0  -1   0   0   0   0   0   1 ⟩                                                                    	 10.095	 -2.622      	 43    	 62          	650.574
        	43/19S   	2539107/2490368            	[ -17  10   0   0   0   0   0  -1   0   0   0   0   0   1 ⟩                                                                    	 33.555	  7.934      	 43    	 62          	650.574
        	19/43C   	90876411/90177536          	[ -21  14   0   0   0   0   0   1   0   0   0   0   0  -1 ⟩                                                                    	 13.365	 13.177      	 43    	 62          	650.574
        	23/133S  	24117248/23560551          	[  20 -11   0  -1   0   0   0  -1   1 ⟩                                                                                        	 40.430	-13.489      	 23    	 49          	651.454
        	19/161C  	41553/41216                	[  -8   7   0  -1   0   0   0   1  -1 ⟩                                                                                        	 14.098	  6.132      	 23    	 49          	651.454
        	437/7M   	1748/1701                  	[   2  -5   0  -1   0   0   0   1   1 ⟩                                                                                        	 47.186	 -7.905      	 23    	 49          	651.454
        	7/437C   	234881024/232239717        	[  25 -12   0   1   0   0   0  -1  -1 ⟩                                                                                        	 19.579	-13.206      	 23    	 49          	651.454
        	7/437S   	448/437                    	[   6   0   0   1   0   0   0  -1  -1 ⟩                                                                                        	 43.039	 -2.650      	 23    	 49          	651.454
        	161/19k  	39123/38912                	[ -11   5   0   1   0   0   0  -1   1 ⟩                                                                                        	  9.362	  4.424      	 23    	 49          	651.454
        	133/23C  	17024/16767                	[   7  -6   0   1   0   0   0   1  -1 ⟩                                                                                        	 26.335	 -7.622      	 23    	 49          	651.454
        	133/23M  	96957/94208                	[ -12   6   0   1   0   0   0   1  -1 ⟩                                                                                        	 49.795	  2.934      	 23    	 49          	651.454
        	1/5525s  	177147/176800              	[  -5  11  -2   0   0  -1  -1 ⟩                                                                                                	  3.395	 10.791      	 17    	 40          	652.257
        	5525C    	16575/16384                	[ -14   1   2   0   0   1   1 ⟩                                                                                                	 20.065	 -0.236      	 17    	 40          	652.257
        	5525S    	8808634575/8589934592      	[ -33  13   2   0   0   1   1 ⟩                                                                                                	 43.526	 10.320      	 17    	 40          	652.257
        	71/7s    	568/567                    	[   3  -4   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                            	  3.051	 -4.188      	 71    	 78          	653.463
        	71/7C    	465831/458752              	[ -16   8   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                            	 26.511	  6.368      	 71    	 78          	653.463
        	1/1519C  	1536/1519                  	[   9   1   0  -2   0   0   0   0   0   0  -1 ⟩                                                                                	 19.268	 -0.186      	 31    	 45          	654.014
        	1/1519S  	1594323/1555456            	[ -10  13   0  -2   0   0   0   0   0   0  -1 ⟩                                                                                	 42.728	 10.369      	 31    	 45          	654.014
        	1519s    	269086293/268435456        	[ -28  11   0   2   0   0   0   0   0   0   1 ⟩                                                                                	  4.192	 10.742      	 31    	 45          	654.014
        	1/34375k 	8388608/8353125            	[  23  -5  -5   0  -1 ⟩                                                                                                        	  7.338	 -5.452      	 11    	 36          	656.467
        	1/34375C 	34992/34375                	[   4   7  -5   0  -1 ⟩                                                                                                        	 30.798	  5.104      	 11    	 36          	656.467
        	109C     	109/108                    	[  -2  -3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩        	 15.956	 -3.982      	109    	109          	660.056
        	109S     	2145447/2097152            	[ -21   9   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩        	 39.416	  6.573      	109    	109          	660.056
        	2197/5C  	2197/2160                  	[  -4  -3  -1   0   0   3 ⟩                                                                                                    	 29.404	 -4.811      	 13    	 44          	661.134
        	2197/5M  	43243551/41943040          	[ -23   9  -1   0   0   3 ⟩                                                                                                    	 52.864	  5.745      	 13    	 44          	661.134
        	29/85C   	15204352/15057495          	[  19 -11  -1   0   0   0  -1   0   0   1 ⟩                                                                                    	 16.803	-12.035      	 29    	 51          	661.898
        	29/85S   	87/85                      	[   0   1  -1   0   0   0  -1   0   0   1 ⟩                                                                                    	 40.263	 -1.479      	 29    	 51          	661.898
        	17/145s  	37179/37120                	[  -8   7  -1   0   0   0   1   0   0  -1 ⟩                                                                                    	  2.750	  6.831      	 29    	 51          	661.898
        	493/5M   	493/480                    	[  -5  -1  -1   0   0   0   1   0   0   1 ⟩                                                                                    	 46.264	 -3.849      	 29    	 51          	661.898
        	5/493S   	40960/39933                	[  13  -4   1   0   0   0  -1   0   0  -1 ⟩                                                                                    	 43.961	 -6.707      	 29    	 51          	661.898
        	145/17C  	35235/34816                	[ -11   5   1   0   0   0  -1   0   0   1 ⟩                                                                                    	 20.711	  3.725      	 29    	 51          	661.898
        	85/29M   	21760/21141                	[   8  -6   1   0   0   0   1   0   0  -1 ⟩                                                                                    	 49.962	 -9.076      	 29    	 51          	661.898
        	1573/7n  	7523610237/7516192768      	[ -30  14   0  -1   2   1 ⟩                                                                                                    	  1.708	 13.895      	 13    	 42          	662.699
        	7/1573C  	14336/14157                	[  11  -2   0   1  -2  -1 ⟩                                                                                                    	 21.752	 -3.339      	 13    	 42          	662.699
        	7/1573M  	413343/402688              	[  -8  10   0   1  -2  -1 ⟩                                                                                                    	 45.212	  7.216      	 13    	 42          	662.699
        	847/13k  	6938624/6908733            	[  13 -12   0   1   2  -1 ⟩                                                                                                    	  7.474	-12.460      	 13    	 42          	662.699
        	847/13C  	847/832                    	[  -6   0   0   1   2  -1 ⟩                                                                                                    	 30.934	 -1.905      	 13    	 42          	662.699
        	847/13M  	450130527/436207616        	[ -25  12   0   1   2  -1 ⟩                                                                                                    	 54.394	  8.651      	 13    	 42          	662.699
        	323/35S  	323/315                    	[   0  -2  -1  -1   0   0   1   1 ⟩                                                                                            	 43.419	 -4.673      	 19    	 48          	662.948
        	119/95k  	780759/778240              	[ -13   8  -1   1   0   0   1  -1 ⟩                                                                                            	  5.595	  7.656      	 19    	 48          	662.948
        	95/119C  	7695/7616                  	[  -6   4   1  -1   0   0  -1   1 ⟩                                                                                            	 17.865	  2.900      	 19    	 48          	662.948
        	85/133C  	10880/10773                	[   7  -4   1  -1   0   0   1  -1 ⟩                                                                                            	 17.110	 -5.054      	 19    	 48          	662.948
        	85/133S  	557685/544768              	[ -12   8   1  -1   0   0   1  -1 ⟩                                                                                            	 40.570	  5.502      	 19    	 48          	662.948
        	35/323M  	8960/8721                  	[   8  -3   1   1   0   0  -1  -1 ⟩                                                                                            	 46.806	 -5.882      	 19    	 48          	662.948
        	1/109375C	110592/109375              	[  12   3  -6  -1 ⟩                                                                                                            	 19.157	  1.820      	  7    	 37          	664.605
        	1/109375S	14348907/14000000          	[  -7  15  -6  -1 ⟩                                                                                                            	 42.617	 12.376      	  7    	 37          	664.605
        	109375s  	2152828125/2147483648      	[ -31   9   6   1 ⟩                                                                                                            	  4.303	  8.735      	  7    	 37          	664.605
        	1/1295n  	1296/1295                  	[   4   4  -1  -1   0   0   0   0   0   0   0  -1 ⟩                                                                            	  1.336	  3.918      	 37    	 49          	665.486
        	1295C    	8496495/8388608            	[ -23   8   1   1   0   0   0   0   0   0   0   1 ⟩                                                                            	 22.124	  6.638      	 37    	 49          	665.486
        	1/2527C  	16777216/16579647          	[  24  -8   0  -1   0   0   0  -2 ⟩                                                                                            	 20.508	 -9.263      	 19    	 45          	666.847
        	1/2527S  	2592/2527                  	[   5   4   0  -1   0   0   0  -2 ⟩                                                                                            	 43.968	  1.293      	 19    	 45          	666.847
        	2527M    	20216/19683                	[   3  -9   0   1   0   0   0   2 ⟩                                                                                            	 46.257	-11.848      	 19    	 45          	666.847
        	1/559C   	33554432/33008391          	[  25 -10   0   0   0  -1   0   0   0   0   0   0   0  -1 ⟩                                                                    	 28.405	-11.749      	 43    	 56          	667.694
        	1/559M   	576/559                    	[   6   2   0   0   0  -1   0   0   0   0   0   0   0  -1 ⟩                                                                    	 51.865	 -1.193      	 43    	 56          	667.694
        	559S     	2236/2187                  	[   2  -7   0   0   0   1   0   0   0   0   0   0   0   1 ⟩                                                                    	 38.360	 -9.362      	 43    	 56          	667.694
        	1/2093M  	524288/508599              	[  19  -5   0  -1   0  -1   0   0  -1 ⟩                                                                                        	 52.597	 -8.239      	 23    	 43          	668.597
        	2093C    	535808/531441              	[   8 -12   0   1   0   1   0   0   1 ⟩                                                                                        	 14.168	-12.872      	 23    	 43          	668.597
        	2093S    	2093/2048                  	[ -11   0   0   1   0   1   0   0   1 ⟩                                                                                        	 37.628	 -2.317      	 23    	 43          	668.597
        	13/1715S 	425984/416745              	[  15  -5  -1  -3   0   1 ⟩                                                                                                    	 37.961	 -7.337      	 13    	 39          	670.914
        	4459/5M  	4459/4320                  	[  -5  -3  -1   3   0   1 ⟩                                                                                                    	 54.827	 -6.376      	 13    	 39          	670.914
        	5/4459S  	40960/40131                	[  13  -2   1  -3   0  -1 ⟩                                                                                                    	 35.398	 -4.180      	 13    	 39          	670.914
        	1715/13C 	7024640/6908733            	[  12 -12   1   3   0  -1 ⟩                                                                                                    	 28.804	-13.774      	 13    	 39          	670.914
        	1715/13M 	1715/1664                  	[  -7   0   1   3   0  -1 ⟩                                                                                                    	 52.264	 -3.218      	 13    	 39          	670.914
        	2401/11C 	2401/2376                  	[  -3  -3   0   4  -1 ⟩                                                                                                        	 18.121	 -4.116      	 11    	 39          	672.502
        	2401/11S 	47258883/46137344          	[ -22   9   0   4  -1 ⟩                                                                                                        	 41.581	  6.440      	 11    	 39          	672.502
        	23/275k  	276/275                    	[   2   1  -2   0  -1   0   0   0   1 ⟩                                                                                        	  6.284	  0.613      	 23    	 44          	673.495
        	23/275C  	36669429/36044800          	[ -17  13  -2   0  -1   0   0   0   1 ⟩                                                                                        	 29.744	 11.169      	 23    	 44          	673.495
        	11/575C  	11534336/11317725          	[  20  -9  -2   0   1   0   0   0  -1 ⟩                                                                                        	 32.821	-11.021      	 23    	 44          	673.495
        	11/575M  	594/575                    	[   1   3  -2   0   1   0   0   0  -1 ⟩                                                                                        	 56.281	 -0.465      	 23    	 44          	673.495
        	575/11S  	73600/72171                	[   7  -8   2   0  -1   0   0   0   1 ⟩                                                                                        	 33.944	-10.090      	 23    	 44          	673.495
        	275/23C  	48715425/48234496          	[ -21  11   2   0   1   0   0   0  -1 ⟩                                                                                        	 17.176	  9.942      	 23    	 44          	673.495
        	121/95k  	7744/7695                  	[   6  -4  -1   0   2   0   0  -1 ⟩                                                                                            	 10.989	 -4.677      	 19    	 46          	674.090
        	121/95S  	793881/778240              	[ -13   8  -1   0   2   0   0  -1 ⟩                                                                                            	 34.449	  5.879      	 19    	 46          	674.090
        	1/517k   	531441/529408              	[ -10  12   0   0  -1   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                	  6.635	 11.591      	 47    	 58          	674.972
        	517C     	517/512                    	[  -9   0   0   0   1   0   0   0   0   0   0   0   0   0   1 ⟩                                                                	 16.825	 -1.036      	 47    	 58          	674.972
        	517S     	274754997/268435456        	[ -28  12   0   0   1   0   0   0   0   0   0   0   0   0   1 ⟩                                                                	 40.285	  9.520      	 47    	 58          	674.972
        	53/13k   	6946816/6908733            	[  17 -12   0   0   0  -1   0   0   0   0   0   0   0   0   0   1 ⟩                                                            	  9.517	-12.586      	 53    	 66          	676.241
        	53/13C   	53/52                      	[  -2   0   0   0   0  -1   0   0   0   0   0   0   0   0   0   1 ⟩                                                            	 32.977	 -2.031      	 53    	 66          	676.241
        	53/13M   	28166373/27262976          	[ -21  12   0   0   0  -1   0   0   0   0   0   0   0   0   0   1 ⟩                                                            	 56.437	  8.525      	 53    	 66          	676.241
        	221/175C 	1449981/1433600            	[ -13   8  -2  -1   0   1   1 ⟩                                                                                                	 19.670	  6.789      	 17    	 47          	676.415
        	175/221s 	14175/14144                	[  -6   4   2   1   0  -1  -1 ⟩                                                                                                	  3.790	  3.767      	 17    	 47          	676.415
        	1/413M   	8388608/8129079            	[  23  -9   0  -1   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                        	 54.407	-12.350      	 59    	 66          	676.861
        	413C     	6608/6561                  	[   4  -8   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	 12.358	 -8.761      	 59    	 66          	676.861
        	413S     	33453/32768                	[ -15   4   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	 35.818	  1.795      	 59    	 66          	676.861
        	1/841C   	16777216/16553403          	[  24  -9   0   0   0   0   0   0   0  -2 ⟩                                                                                    	 23.251	-10.432      	 29    	 58          	677.472
        	1/841M   	864/841                    	[   5   3   0   0   0   0   0   0   0  -2 ⟩                                                                                    	 46.711	  0.124      	 29    	 58          	677.472
        	841S     	6728/6561                  	[   3  -8   0   0   0   0   0   0   0   2 ⟩                                                                                    	 43.514	-10.679      	 29    	 58          	677.472
        	1/2873s  	2097152/2094417            	[  21  -6   0   0   0  -2  -1 ⟩                                                                                                	  2.259	 -6.139      	 17    	 43          	678.347
        	1/2873C  	2916/2873                  	[   2   6   0   0   0  -2  -1 ⟩                                                                                                	 25.719	  4.416      	 17    	 43          	678.347
        	16807/5S 	33614/32805                	[   1  -8  -1   5 ⟩                                                                                                            	 42.176	-10.597      	  7    	 40          	680.839
        	5/16807C 	335544320/330812181        	[  26  -9   1  -5 ⟩                                                                                                            	 24.589	-10.514      	  7    	 40          	680.839
        	5/16807M 	17280/16807                	[   7   3   1  -5 ⟩                                                                                                            	 48.049	  0.041      	  7    	 40          	680.839
        	29/175C  	46235367/45875200          	[ -18  13  -2  -1   0   0   0   0   0   1 ⟩                                                                                    	 13.539	 12.166      	 29    	 46          	681.366
        	7/725M   	14680064/14270175          	[  21  -9  -2   1   0   0   0   0   0  -1 ⟩                                                                                    	 49.026	-12.019      	 29    	 46          	681.366
        	725/7C   	46400/45927                	[   6  -8   2  -1   0   0   0   0   0   1 ⟩                                                                                    	 17.739	 -9.092      	 29    	 46          	681.366
        	725/7S   	58725/57344                	[ -13   4   2  -1   0   0   0   0   0   1 ⟩                                                                                    	 41.199	  1.463      	 29    	 46          	681.366
        	175/29k  	175/174                    	[  -1  -1   2   1   0   0   0   0   0  -1 ⟩                                                                                    	  9.921	 -1.611      	 29    	 46          	681.366
        	175/29C  	31000725/30408704          	[ -20  11   2   1   0   0   0   0   0  -1 ⟩                                                                                    	 33.381	  8.945      	 29    	 46          	681.366
        	49/475M  	3211264/3116475            	[  16  -8  -2   2   0   0   0  -1 ⟩                                                                                            	 51.871	-11.194      	 19    	 43          	682.446
        	25/931C  	25600/25137                	[  10  -3   2  -2   0   0   0  -1 ⟩                                                                                            	 31.598	 -4.946      	 19    	 43          	682.446
        	25/931M  	492075/476672              	[  -9   9   2  -2   0   0   0  -1 ⟩                                                                                            	 55.058	  5.610      	 19    	 43          	682.446
        	475/49C  	972800/964467              	[  11  -9   2  -2   0   0   0   1 ⟩                                                                                            	 14.894	 -9.917      	 19    	 43          	682.446
        	475/49S  	12825/12544                	[  -8   3   2  -2   0   0   0   1 ⟩                                                                                            	 38.354	  0.638      	 19    	 43          	682.446
        	31/77k   	507904/505197              	[  14  -8   0  -1  -1   0   0   0   0   0   1 ⟩                                                                                	  9.252	 -8.570      	 31    	 49          	685.157
        	31/77C   	2511/2464                  	[  -5   4   0  -1  -1   0   0   0   0   0   1 ⟩                                                                                	 32.712	  1.986      	 31    	 49          	685.157
        	11/217C  	1441792/1423737            	[  17  -8   0  -1   1   0   0   0   0   0  -1 ⟩                                                                                	 21.816	 -9.343      	 31    	 49          	685.157
        	11/217M  	891/868                    	[  -2   4   0  -1   1   0   0   0   0   0  -1 ⟩                                                                                	 45.276	  1.212      	 31    	 49          	685.157
        	341/7s   	11173888/11160261          	[  15 -13   0  -1   1   0   0   0   0   0   1 ⟩                                                                                	  2.113	-13.130      	 31    	 49          	685.157
        	341/7C   	341/336                    	[  -4  -1   0  -1   1   0   0   0   0   0   1 ⟩                                                                                	 25.573	 -2.575      	 31    	 49          	685.157
        	341/7M   	60407127/58720256          	[ -23  11   0  -1   1   0   0   0   0   0   1 ⟩                                                                                	 49.033	  7.981      	 31    	 49          	685.157
        	217/11S  	222208/216513              	[  10  -9   0   1  -1   0   0   0   0   0   1 ⟩                                                                                	 44.949	-11.768      	 31    	 49          	685.157
        	1/5831n  	5832/5831                  	[   3   6   0  -3   0   0  -1 ⟩                                                                                                	  0.297	  5.982      	 17    	 38          	688.382
        	5831C    	4250799/4194304            	[ -22   6   0   3   0   0   1 ⟩                                                                                                	 23.163	  4.574      	 17    	 38          	688.382
        	5225C    	5225/5184                  	[  -6  -4   2   0   1   0   0   1 ⟩                                                                                            	 13.638	 -4.840      	 19    	 40          	689.410
        	5225S    	34281225/33554432          	[ -25   8   2   0   1   0   0   1 ⟩                                                                                            	 37.098	  5.716      	 19    	 40          	689.410
        	73/7M    	584/567                    	[   3  -4   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                        	 51.144	 -7.149      	 73    	 80          	690.796
        	7/73C    	117440512/116385579        	[  24 -13   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                        	 15.621	-13.962      	 73    	 80          	690.796
        	7/73S    	224/219                    	[   5  -1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                        	 39.081	 -3.406      	 73    	 80          	690.796
        	67/25k   	201/200                    	[  -3   1  -2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                	  8.635	  0.468      	 67    	 77          	692.747
        	67/25C   	106819641/104857600        	[ -22  13  -2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                	 32.095	 11.024      	 67    	 77          	692.747
        	25/67C   	4428675/4390912            	[ -16  11   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                	 14.825	 10.087      	 67    	 77          	692.747
        	391/25M  	6256/6075                  	[   4  -5  -2   0   0   0   1   0   1 ⟩                                                                                        	 50.827	 -8.130      	 23    	 50          	693.904
        	25/391C  	209715200/207793431        	[  23 -12   2   0   0   0  -1   0  -1 ⟩                                                                                        	 15.938	-12.981      	 23    	 50          	693.904
        	25/391S  	400/391                    	[   4   0   2   0   0   0  -1   0  -1 ⟩                                                                                        	 39.398	 -2.426      	 23    	 50          	693.904
        	47/17S   	3080192/3011499            	[  16 -11   0   0   0   0  -1   0   0   0   0   0   0   0   1 ⟩                                                                	 39.046	-13.404      	 47    	 64          	695.426
        	17/47C   	34816/34263                	[  11  -6   0   0   0   0   1   0   0   0   0   0   0   0  -1 ⟩                                                                	 27.719	 -7.707      	 47    	 64          	695.426
        	17/47M   	12393/12032                	[  -8   6   0   0   0   0   1   0   0   0   0   0   0   0  -1 ⟩                                                                	 51.179	  2.849      	 47    	 64          	695.426
        	37/55C   	111/110                    	[  -1   1  -1   0  -1   0   0   0   0   0   0   1 ⟩                                                                            	 15.667	  0.035      	 37    	 53          	697.176
