2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{169/7}₂,₃     	142.398 	                          	        	138   	-      	0
{143/25}₂,₃    	143.441 	                          	        	139   	329    	2
{121/35}₂,₃    	143.781 	                          	        	140   	102.5  	11
{1625}₂,₃      	146.701 	                          	        	141   	-      	0
{1925}₂,₃      	147.049 	                          	        	142   	604.5  	1
{55/17}₂,₃     	147.176 	                          	        	144   	329    	2
{85/11}₂,₃     	147.176 	   ,)|)     `/|\          	6, 6    	144   	186.5  	5
{187/5}₂,₃     	147.176 	                          	        	144   	217.5  	4
{31/25}₂,₃     	148.302 	                          	        	146   	604.5  	1
{6125}₂,₃      	148.872 	                          	        	147   	164    	6
{845}₂,₃       	152.569 	                          	        	148   	604.5  	1
{343/125}₂,₃   	154.385 	                          	        	149   	102.5  	11
{41/5}₂,₃      	155.648 	                          	        	150   	164    	6
{53}₂,₃        	156.056 	                          	        	151   	74     	22
{119/25}₂,₃    	156.096 	                          	        	152   	-      	0
{253}₂,₃       	161.639 	  ,,/|                    	6       	153   	604.5  	1
{125/77}₂,₃    	163.387 	                          	        	154   	113    	10
{203}₂,₃       	163.528 	                          	        	155   	-      	0
{49/19}₂,₃     	163.787 	                          	        	156   	102.5  	11
{625/49}₂,₃    	165.413 	                          	        	157   	94.5   	12
{23/17}₂,₃     	166.537 	                          	        	158   	76     	21
{125/17}₂,₃    	167.245 	                          	        	159   	-      	0
{169/25}₂,₃    	169.522 	                          	        	160   	-      	0
{323}₂,₃       	170.472 	                          	        	161   	604.5  	1
{43/5}₂,₃      	171.204 	                          	        	162   	164    	6
{29/11}₂,₃     	171.315 	                          	        	163   	90     	13
{35/23}₂,₃     	171.435 	                          	        	165   	164    	6
{115/7}₂,₃     	171.435 	                          	        	165   	604.5  	1
{161/5}₂,₃     	171.435 	                          	        	165   	252.5  	3
{65/17}₂,₃     	173.935 	                          	        	168   	217.5  	4
{85/13}₂,₃     	173.935 	                          	        	168   	329    	2
{221/5}₂,₃     	173.935 	                          	        	168   	329    	2
{625/11}₂,₃    	175.058 	                          	        	170   	-      	0
{665}₂,₃       	175.486 	                          	        	171   	-      	0
{3125/7}₂,₃    	177.228 	                          	        	172   	252.5  	3
{37/7}₂,₃      	177.463 	                          	        	173   	123.5  	9
{1001}₂,₃      	180.736 	   `(|(                   	6       	174   	147    	7
{575}₂,₃       	183.681 	                          	        	175   	-      	0
{55/19}₂,₃     	183.843 	                          	        	177   	123.5  	9
{95/11}₂,₃     	183.843 	                          	        	177   	604.5  	1
{209/5}₂,₃     	183.843 	                          	        	177   	329    	2
{23/19}₂,₃     	186.130 	                          	        	179   	102.5  	11
{217}₂,₃       	186.861 	                          	        	180   	604.5  	1
{121/13}₂,₃    	189.343 	                          	        	181   	604.5  	1
{185}₂,₃       	190.139 	                          	        	182   	-      	0
{361}₂,₃       	190.528 	                          	        	183   	-      	0
{299}₂,₃       	191.028 	                          	        	184   	-      	0
{245/13}₂,₃    	191.690 	                          	        	185.5 	-      	0
{637/5}₂,₃     	191.690 	                          	        	185.5 	604.5  	1
{343/11}₂,₃    	192.144 	                          	        	187   	-      	0
{59}₂,₃        	193.389 	                          	        	188   	83     	15
{2401/5}₂,₃    	194.525 	                          	        	189   	134.5  	8
{133/25}₂,₃    	194.985 	                          	        	190   	-      	0
{31/11}₂,₃     	195.759 	    ,|(    `~~|           	6, 6    	191   	49     	41
{833}₂,₃       	196.681 	                          	        	192   	-      	0
{77/65}₂,₃     	200.818 	   ``|                    	6       	194   	217.5  	4
{91/55}₂,₃     	200.818 	                          	        	194   	604.5  	1
{143/35}₂,₃    	200.818 	                          	        	194   	186.5  	5
{121/49}₂,₃    	201.293 	                          	        	196   	134.5  	8
{29/13}₂,₃     	202.463 	                          	        	197   	102.5  	11
{1331}₂,₃      	203.347 	                          	        	198   	186.5  	5
{47/5}₂,₃      	204.537 	                          	        	199   	134.5  	8
{2275}₂,₃      	205.382 	                          	        	200   	-      	0
{2695}₂,₃      	205.868 	                          	        	201   	329    	2
{77/17}₂,₃     	206.046 	                          	        	203   	604.5  	1
{119/11}₂,₃    	206.046 	                          	        	203   	-      	0
{187/7}₂,₃     	206.046 	                          	        	203   	329    	2
{61}₂,₃        	206.722 	                          	        	205   	113    	10
{8575}₂,₃      	208.420 	  ,')|(                   	6       	206   	123.5  	9
{125/19}₂,₃    	208.912 	                          	        	207   	-      	0
{37/25}₂,₃     	211.265 	                          	        	208   	217.5  	4
{1183}₂,₃      	213.597 	                          	        	209   	604.5  	1
{275/13}₂,₃    	215.162 	                          	        	210.5 	-      	0
{325/11}₂,₃    	215.162 	  ,,/|)                   	6       	210.5 	-      	0
{605/7}₂,₃     	215.671 	                          	        	212.5 	-      	0
{847/5}₂,₃     	215.671 	                          	        	212.5 	604.5  	1
{65/19}₂,₃     	217.269 	                          	        	215   	329    	2
{95/13}₂,₃     	217.269 	                          	        	215   	604.5  	1
{247/5}₂,₃     	217.269 	                          	        	215   	329    	2
{41/7}₂,₃      	217.907 	                          	        	217   	123.5  	9
{85/49}₂,₃     	218.534 	                          	        	218   	329    	2
{935}₂,₃       	220.764 	                          	        	219   	604.5  	1
{169/11}₂,₃    	223.769 	                          	        	220   	-      	0
{289/5}₂,₃     	227.454 	                          	        	221   	-      	0
{125/91}₂,₃    	228.202 	                          	        	222   	-      	0
{275/49}₂,₃    	228.742 	                          	        	223.5 	102.5  	11
{539/25}₂,₃    	228.742 	                          	        	223.5 	-      	0
{3025}₂,₃      	231.076 	                          	        	225   	-      	0
{31/13}₂,₃     	231.352 	                          	        	226   	123.5  	9
{205}₂,₃       	233.472 	                          	        	227   	-      	0
{175/17}₂,₃    	234.144 	                          	        	228.5 	-      	0
{425/7}₂,₃     	234.144 	                          	        	228.5 	-      	0
{169/35}₂,₃    	237.330 	                          	        	230   	329    	2
{143/125}₂,₃   	239.069 	                          	        	231   	-      	0
{43/7}₂,₃      	239.685 	                          	        	232   	147    	7
{49/23}₂,₃     	240.009 	                          	        	233   	186.5  	5
{91/17}₂,₃     	243.509 	                          	        	235   	-      	0
{119/13}₂,₃    	243.509 	                          	        	235   	-      	0
{221/7}₂,₃     	243.509 	                          	        	235   	329    	2
{625/13}₂,₃    	244.502 	                          	        	237   	604.5  	1
{875/11}₂,₃    	245.081 	                          	        	238.5 	-      	0
{1375/7}₂,₃    	245.081 	                          	        	238.5 	604.5  	1
{187/25}₂,₃    	245.293 	                          	        	240   	-      	0
