2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{325/203}₂,₃   	2952.585	                          	        	2816  	-      	0
{725/91}₂,₃    	2952.585	                          	        	2816  	-      	0
{2639/25}₂,₃   	2952.585	                          	        	2816  	-      	0
{4945}₂,₃      	2953.264	                          	        	2818  	-      	0
{649/25}₂,₃    	2954.552	                          	        	2819  	-      	0
{7337}₂,₃      	2955.181	                          	        	2820  	-      	0
{151/7}₂,₃     	2955.685	                          	        	2821  	604.5  	1
{18515}₂,₃     	2957.257	                          	        	2822  	-      	0
{637/475}₂,₃   	2957.266	                          	        	2823.5	-      	0
{931/325}₂,₃   	2957.266	                          	        	2823.5	-      	0
{15125/13}₂,₃  	2958.478	                          	        	2825  	-      	0
{665/31}₂,₃    	2958.634	                          	        	2827.5	-      	0
{1085/19}₂,₃   	2958.634	                          	        	2827.5	-      	0
{2945/7}₂,₃    	2958.634	                          	        	2827.5	-      	0
{4123/5}₂,₃    	2958.634	                          	        	2827.5	-      	0
{625/323}₂,₃   	2959.587	                          	        	2830  	-      	0
{97/17}₂,₃     	2962.093	                          	        	2831  	604.5  	1
{61/43}₂,₃     	2963.019	                          	        	2832  	604.5  	1
{33275/7}₂,₃   	2965.480	                          	        	2833  	-      	0
{22477}₂,₃     	2965.715	                          	        	2834  	-      	0
{145/47}₂,₃    	2965.787	                          	        	2836  	-      	0
{235/29}₂,₃    	2965.787	                          	        	2836  	-      	0
{1363/5}₂,₃    	2965.787	                          	        	2836  	-      	0
{79/77}₂,₃     	2966.401	                          	        	2838  	604.5  	1
{179/5}₂,₃     	2966.759	                          	        	2839  	-      	0
{1331/85}₂,₃   	2968.048	                          	        	2840  	-      	0
{217/143}₂,₃   	2969.015	                          	        	2842  	-      	0
{341/91}₂,₃    	2969.015	                          	        	2842  	-      	0
{403/77}₂,₃    	2969.015	                          	        	2842  	-      	0
{23125}₂,₃     	2970.920	                          	        	2844  	-      	0
{45125}₂,₃     	2976.997	                          	        	2845  	-      	0
{1463/625}₂,₃  	2978.931	                          	        	2846  	-      	0
{139/25}₂,₃    	2981.636	                          	        	2847  	-      	0
{4459/17}₂,₃   	2982.988	                          	        	2848.5	-      	0
{5831/13}₂,₃   	2982.988	                          	        	2848.5	-      	0
{943/25}₂,₃    	2983.256	                          	        	2850  	-      	0
{37375}₂,₃     	2984.809	                          	        	2851  	-      	0
{50575}₂,₃     	2985.330	                          	        	2852  	-      	0
{3575/19}₂,₃   	2987.442	                          	        	2854  	-      	0
{5225/13}₂,₃   	2987.442	                          	        	2854  	-      	0
{6175/11}₂,₃   	2987.442	                          	        	2854  	-      	0
{115/53}₂,₃    	2991.065	                          	        	2857  	-      	0
{265/23}₂,₃    	2991.065	                          	        	2857  	-      	0
{1219/5}₂,₃    	2991.065	                          	        	2857  	-      	0
{629/125}₂,₃   	2992.927	                          	        	2859  	-      	0
{30625/13}₂,₃  	2995.153	                          	        	2860  	-      	0
{385/41}₂,₃    	2996.227	                          	        	2862.5	-      	0
{1435/11}₂,₃   	2996.227	                          	        	2862.5	-      	0
{2255/7}₂,₃    	2996.227	                          	        	2862.5	-      	0
{3157/5}₂,₃    	2996.227	                          	        	2862.5	-      	0
{1769}₂,₃      	2997.472	                          	        	2865  	-      	0
{1829}₂,₃      	2997.528	                          	        	2866  	-      	0
{42875/11}₂,₃  	3002.242	                          	        	2867  	-      	0
{4081}₂,₃      	3004.069	                          	        	2868  	-      	0
{1225/187}₂,₃  	3004.842	                          	        	2870  	-      	0
{4675/49}₂,₃   	3004.842	                          	        	2870  	-      	0
{9163/25}₂,₃   	3004.842	                          	        	2870  	-      	0
{391/325}₂,₃   	3006.919	                          	        	2872  	-      	0
{45619}₂,₃     	3009.587	                          	        	2873  	-      	0
{475/37}₂,₃    	3010.532	                          	        	2874.5	-      	0
{925/19}₂,₃    	3010.532	                          	        	2874.5	-      	0
{203/155}₂,₃   	3010.540	                          	        	2877  	-      	0
{217/145}₂,₃   	3010.540	                          	        	2877  	-      	0
{899/35}₂,₃    	3010.540	                          	        	2877  	-      	0
{175/61}₂,₃    	3014.699	                          	        	2879.5	-      	0
{1525/7}₂,₃    	3014.699	                          	        	2879.5	-      	0
{233}₂,₃       	3016.056	                          	        	2881  	-      	0
{6859/5}₂,₃    	3016.690	                          	        	2882  	-      	0
{185/143}₂,₃   	3021.096	                          	        	2884  	-      	0
{407/65}₂,₃    	3021.096	                          	        	2884  	-      	0
{481/55}₂,₃    	3021.096	                          	        	2884  	-      	0
{7375}₂,₃      	3021.701	                          	        	2886  	-      	0
{1235/23}₂,₃   	3024.606	                          	        	2888.5	-      	0
{1495/19}₂,₃   	3024.606	                          	        	2888.5	-      	0
{2185/13}₂,₃   	3024.606	                          	        	2888.5	-      	0
{5681/5}₂,₃    	3024.606	                          	        	2888.5	-      	0
{361/143}₂,₃   	3027.275	                          	        	2891  	-      	0
{1519/125}₂,₃  	3027.842	                          	        	2892  	-      	0
{59/47}₂,₃     	3029.759	                          	        	2893  	-      	0
{181/5}₂,₃     	3033.426	                          	        	2894  	-      	0
{2765}₂,₃      	3033.819	                          	        	2895  	-      	0
{355/13}₂,₃    	3033.935	                          	        	2896.5	-      	0
{923/5}₂,₃     	3033.935	                          	        	2896.5	-      	0
{961/11}₂,₃    	3034.269	                          	        	2898  	-      	0
{253/169}₂,₃   	3035.219	                          	        	2899  	-      	0
{51425}₂,₃     	3035.503	                          	        	2900  	-      	0
{14105}₂,₃     	3036.493	                          	        	2901  	-      	0
{3125/29}₂,₃   	3041.811	                          	        	2902  	-      	0
{391/29}₂,₃    	3044.731	                          	        	2904  	-      	0
{493/23}₂,₃    	3044.731	                          	        	2904  	-      	0
{667/17}₂,₃    	3044.731	                          	        	2904  	-      	0
{845/539}₂,₃   	3045.738	                          	        	2906.5	-      	0
{1859/245}₂,₃  	3045.738	                          	        	2906.5	-      	0
{3125/133}₂,₃  	3046.634	                          	        	2908  	-      	0
{485/7}₂,₃     	3049.213	                          	        	2909.5	-      	0
{679/5}₂,₃     	3049.213	                          	        	2909.5	-      	0
{3283}₂,₃      	3055.014	                          	        	2911  	-      	0
{5117}₂,₃      	3055.986	                          	        	2912  	-      	0
{1375/31}₂,₃   	3058.738	                          	        	2913.5	-      	0
{3875/11}₂,₃   	3058.738	                          	        	2913.5	-      	0
{73/31}₂,₃     	3059.241	                          	        	2915  	-      	0
{19159}₂,₃     	3060.118	                          	        	2916  	-      	0
{2197/625}₂,₃  	3060.807	                          	        	2917  	-      	0
{5957}₂,₃      	3061.236	                          	        	2918  	-      	0
{95/59}₂,₃     	3061.991	                          	        	2920  	-      	0
{295/19}₂,₃    	3061.991	                          	        	2920  	-      	0
{1121/5}₂,₃    	3061.991	                          	        	2920  	-      	0
{1073/25}₂,₃   	3063.349	                          	        	2922  	-      	0
{529/245}₂,₃   	3066.785	                          	        	2923  	-      	0
{1573/875}₂,₃  	3068.051	                          	        	2924  	-      	0
{203/169}₂,₃   	3070.688	                          	        	2925  	-      	0
{104125}₂,₃    	3073.134	                          	        	2926  	-      	0
{113/13}₂,₃    	3074.019	                          	        	2927  	604.5  	1
{1331/1225}₂,₃ 	3075.313	                          	        	2928  	-      	0
{67/37}₂,₃     	3075.796	                          	        	2929  	-      	0
{473/49}₂,₃    	3075.960	                          	        	2930  	-      	0
{20449/5}₂,₃   	3076.817	                          	        	2931  	-      	0
{325/323}₂,₃   	3077.971	                          	        	2933.5	-      	0
{425/247}₂,₃   	3077.971	                          	        	2933.5	-      	0
{475/221}₂,₃   	3077.971	                          	        	2933.5	-      	0
{4199/25}₂,₃   	3077.971	                          	        	2933.5	-      	0
{343/253}₂,₃   	3080.119	                          	        	2936  	-      	0
{745}₂,₃       	3083.472	                          	        	2937  	-      	0
{125/73}₂,₃    	3083.912	                          	        	2938  	-      	0
{101/49}₂,₃    	3085.488	                          	        	2939  	-      	0
{205/119}₂,₃   	3087.022	                          	        	2941  	-      	0
{287/85}₂,₃    	3087.022	                          	        	2941  	-      	0
{697/35}₂,₃    	3087.022	                          	        	2941  	-      	0
{2527/125}₂,₃  	3087.256	                          	        	2943  	-      	0
{12025}₂,₃     	3089.757	                          	        	2944  	-      	0
{559/125}₂,₃   	3091.178	                          	        	2945  	-      	0
{377/275}₂,₃   	3093.184	                          	        	2946  	-      	0
{119/53}₂,₃    	3095.102	                          	        	2948  	-      	0
{371/17}₂,₃    	3095.102	                          	        	2948  	-      	0
{901/7}₂,₃     	3095.102	                          	        	2948  	-      	0
{2093/125}₂,₃  	3095.358	                          	        	2950  	-      	0
{23465}₂,₃     	3096.076	                          	        	2951  	-      	0
{2645/11}₂,₃   	3098.079	                          	        	2952.5	-      	0
{5819/5}₂,₃    	3098.079	                          	        	2952.5	-      	0
{209/155}₂,₃   	3099.522	                          	        	2955  	-      	0
{341/95}₂,₃    	3099.522	                          	        	2955  	-      	0
{589/55}₂,₃    	3099.522	                          	        	2955  	-      	0
{235/91}₂,₃    	3102.145	                          	        	2958  	-      	0
{329/65}₂,₃    	3102.145	                          	        	2958  	-      	0
{611/35}₂,₃    	3102.145	                          	        	2958  	-      	0
{19435}₂,₃     	3104.201	                          	        	2960  	-      	0
{26299}₂,₃     	3104.743	                          	        	2961  	-      	0
{5453}₂,₃      	3105.181	                          	        	2962  	-      	0
{4459/625}₂,₃  	3106.085	                          	        	2963  	-      	0
{14641/25}₂,₃  	3106.694	                          	        	2964  	-      	0
{1859/19}₂,₃   	3106.940	                          	        	2965.5	-      	0
{3211/11}₂,₃   	3106.940	                          	        	2965.5	-      	0
{5203}₂,₃      	3107.347	                          	        	2967  	-      	0
{19481}₂,₃     	3111.549	                          	        	2968  	-      	0
{2401/1375}₂,₃ 	3113.437	                          	        	2969  	-      	0
{1111}₂,₃      	3116.972	                          	        	2970  	-      	0
{517/125}₂,₃   	3124.871	                          	        	2971  	-      	0
{539/221}₂,₃   	3125.035	                          	        	2973.5	-      	0
{637/187}₂,₃   	3125.035	                          	        	2973.5	-      	0
{833/143}₂,₃   	3125.035	                          	        	2973.5	-      	0
{2431/49}₂,₃   	3125.035	                          	        	2973.5	-      	0
{7225/11}₂,₃   	3127.488	                          	        	2976  	-      	0
{247/37}₂,₃    	3130.954	                          	        	2978  	-      	0
{481/19}₂,₃    	3130.954	                          	        	2978  	-      	0
{703/13}₂,₃    	3130.954	                          	        	2978  	-      	0
{413/125}₂,₃   	3133.616	                          	        	2980  	-      	0
{805/29}₂,₃    	3134.282	                          	        	2982.5	-      	0
{1015/23}₂,₃   	3134.282	                          	        	2982.5	-      	0
{3335/7}₂,₃    	3134.282	                          	        	2982.5	-      	0
{4669/5}₂,₃    	3134.282	                          	        	2982.5	-      	0
{91/61}₂,₃     	3135.287	                          	        	2986  	-      	0
{427/13}₂,₃    	3135.287	                          	        	2986  	-      	0
{793/7}₂,₃     	3135.287	                          	        	2986  	-      	0
{889}₂,₃       	3136.194	                          	        	2988  	-      	0
{841/125}₂,₃   	3136.445	                          	        	2989  	-      	0
{4375/143}₂,₃  	3137.780	                          	        	2991  	-      	0
{6875/91}₂,₃   	3137.780	                          	        	2991  	-      	0
{8125/77}₂,₃   	3137.780	                          	        	2991  	-      	0
{205/121}₂,₃   	3138.904	                          	        	2993  	-      	0
{2873/125}₂,₃  	3140.496	                          	        	2994  	-      	0
{3835}₂,₃      	3142.569	                          	        	2995  	-      	0
{6125/121}₂,₃  	3145.206	                          	        	2996.5	-      	0
{15125/49}₂,₃  	3145.206	                          	        	2996.5	-      	0
{10535}₂,₃     	3145.868	                          	        	2998  	-      	0
{121/53}₂,₃    	3147.120	                          	        	2999  	-      	0
{15631}₂,₃     	3147.910	                          	        	3000  	-      	0
{847/425}₂,₃   	3147.930	                          	        	3001.5	-      	0
{2057/175}₂,₃  	3147.930	                          	        	3001.5	-      	0
{403/245}₂,₃   	3148.956	                          	        	3003  	-      	0
{39445}₂,₃     	3150.122	                          	        	3004  	-      	0
{16807/625}₂,₃ 	3152.033	                          	        	3005  	-      	0
{3773/19}₂,₃   	3152.900	                          	        	3006.5	-      	0
{6517/11}₂,₃   	3152.900	                          	        	3006.5	-      	0
{26741}₂,₃     	3156.924	                          	        	3008  	-      	0
{671/25}₂,₃    	3158.256	                          	        	3009  	-      	0
{203/41}₂,₃    	3159.657	                          	        	3011  	-      	0
{287/29}₂,₃    	3159.657	                          	        	3011  	-      	0
{1189/7}₂,₃    	3159.657	                          	        	3011  	-      	0
{1625/29}₂,₃   	3163.484	                          	        	3013.5	-      	0
{3625/13}₂,₃   	3163.484	                          	        	3013.5	-      	0
{755}₂,₃       	3166.806	                          	        	3015  	-      	0
{185/43}₂,₃    	3167.269	                          	        	3017  	-      	0
{215/37}₂,₃    	3167.269	                          	        	3017  	-      	0
{1591/5}₂,₃    	3167.269	                          	        	3017  	-      	0
{875/247}₂,₃   	3168.499	                          	        	3020  	-      	0
{1625/133}₂,₃  	3168.499	                          	        	3020  	-      	0
{2375/91}₂,₃   	3168.499	                          	        	3020  	-      	0
{14725}₂,₃     	3169.965	                          	        	3022  	-      	0
{155/47}₂,₃    	3170.324	                          	        	3024  	-      	0
{235/31}₂,₃    	3170.324	                          	        	3024  	-      	0
{1457/5}₂,₃    	3170.324	                          	        	3024  	-      	0
{239}₂,₃       	3173.389	                          	        	3026  	-      	0
{391/343}₂,₃   	3173.456	                          	        	3027  	-      	0
{166375}₂,₃    	3177.300	                          	        	3028  	-      	0
{1025/49}₂,₃   	3177.816	                          	        	3029.5	-      	0
{2009/25}₂,₃   	3177.816	                          	        	3029.5	-      	0
{89/65}₂,₃     	3178.179	                          	        	3031  	-      	0
{395/11}₂,₃    	3178.287	                          	        	3032.5	-      	0
{869/5}₂,₃     	3178.287	                          	        	3032.5	-      	0
{715/31}₂,₃    	3181.088	                          	        	3035.5	-      	0
{1705/13}₂,₃   	3181.088	                          	        	3035.5	-      	0
{2015/11}₂,₃   	3181.088	                          	        	3035.5	-      	0
{4433/5}₂,₃    	3181.088	                          	        	3035.5	-      	0
{245/53}₂,₃    	3186.134	                          	        	3038.5	-      	0
{2597/5}₂,₃    	3186.134	                          	        	3038.5	-      	0
{2125/343}₂,₃  	3186.953	                          	        	3040.5	-      	0
{5831/125}₂,₃  	3186.953	                          	        	3040.5	-      	0
{1681/5}₂,₃    	3190.787	                          	        	3042  	-      	0
{529/85}₂,₃    	3191.960	                          	        	3043  	-      	0
{97/55}₂,₃     	3194.414	                          	        	3044  	-      	0
{157/7}₂,₃     	3195.241	                          	        	3045  	-      	0
{625/47}₂,₃    	3195.891	                          	        	3046  	-      	0
{54145}₂,₃     	3196.059	                          	        	3047  	-      	0
{2173}₂,₃      	3199.139	                          	        	3048  	-      	0
{77/67}₂,₃     	3200.491	                          	        	3050  	-      	0
{469/11}₂,₃    	3200.491	                          	        	3050  	-      	0
{737/7}₂,₃     	3200.491	                          	        	3050  	-      	0
{323/169}₂,₃   	3201.090	                          	        	3052  	604.5  	1
{187/43}₂,₃    	3201.509	                          	        	3054  	-      	0
{473/17}₂,₃    	3201.509	                          	        	3054  	-      	0
{731/11}₂,₃    	3201.509	                          	        	3054  	-      	0
{481/175}₂,₃   	3204.192	                          	        	3056  	-      	0
{1891}₂,₃      	3204.194	                          	        	3057  	-      	0
{247/145}₂,₃   	3205.664	                          	        	3059  	-      	0
{377/95}₂,₃    	3205.664	                          	        	3059  	-      	0
{551/65}₂,₃    	3205.664	                          	        	3059  	-      	0
{1309/23}₂,₃   	3205.838	                          	        	3062.5	-      	0
{1771/17}₂,₃   	3205.838	                          	        	3062.5	-      	0
{2737/11}₂,₃   	3205.838	                          	        	3062.5	-      	0
{4301/7}₂,₃    	3205.838	                          	        	3062.5	-      	0
{253/37}₂,₃    	3207.009	                          	        	3066  	-      	0
{407/23}₂,₃    	3207.009	                          	        	3066  	-      	0
{851/11}₂,₃    	3207.009	                          	        	3066  	-      	0
{365/13}₂,₃    	3207.269	                          	        	3068.5	-      	0
{949/5}₂,₃     	3207.269	                          	        	3068.5	-      	0
{103/49}₂,₃    	3208.895	                          	        	3070  	604.5  	1
{284375}₂,₃    	3209.093	                          	        	3071  	-      	0
{11275}₂,₃     	3210.243	                          	        	3072  	-      	0
{10051}₂,₃     	3210.736	                          	        	3073  	-      	0
{101/17}₂,₃    	3211.426	                          	        	3074  	-      	0
{361/31}₂,₃    	3212.231	                          	        	3075  	-      	0
{6253}₂,₃      	3213.347	                          	        	3076  	-      	0
{336875}₂,₃    	3216.688	                          	        	3077  	-      	0
{961/35}₂,₃    	3218.164	                          	        	3078  	-      	0
{9625/17}₂,₃   	3219.473	                          	        	3080  	-      	0
{14875/11}₂,₃  	3219.473	                          	        	3080  	-      	0
{23375/7}₂,₃   	3219.473	                          	        	3080  	-      	0
{1633}₂,₃      	3220.639	                          	        	3082  	-      	0
{4913/25}₂,₃   	3222.261	                          	        	3083  	-      	0
{725/31}₂,₃    	3225.579	                          	        	3084.5	-      	0
{775/29}₂,₃    	3225.579	                          	        	3084.5	-      	0
{241}₂,₃       	3226.722	                          	        	3086  	-      	0
{7625}₂,₃      	3230.035	                          	        	3087  	-      	0
{893/25}₂,₃    	3238.503	                          	        	3088  	-      	0
{61/47}₂,₃     	3238.648	                          	        	3089  	-      	0
{1133}₂,₃      	3241.639	                          	        	3090  	-      	0
{833/29}₂,₃    	3243.301	                          	        	3091.5	-      	0
{1421/17}₂,₃   	3243.301	                          	        	3091.5	-      	0
{625/217}₂,₃   	3244.117	                          	        	3093  	-      	0
{343/323}₂,₃   	3248.443	                          	        	3094  	-      	0
{3179/13}₂,₃   	3252.588	                          	        	3095.5	-      	0
{3757/11}₂,₃   	3252.588	                          	        	3095.5	-      	0
{209/41}₂,₃    	3253.046	                          	        	3098  	-      	0
{451/19}₂,₃    	3253.046	                          	        	3098  	-      	0
{779/11}₂,₃    	3253.046	                          	        	3098  	-      	0
{1411}₂,₃      	3253.139	                          	        	3100  	-      	0
{1071875}₂,₃   	3256.565	                          	        	3101  	604.5  	1
{1331/23}₂,₃   	3259.718	                          	        	3102  	-      	0
{12691}₂,₃     	3260.882	                          	        	3103  	-      	0
{1925/169}₂,₃  	3263.291	                          	        	3105  	-      	0
{4225/77}₂,₃   	3263.291	                          	        	3105  	-      	0
{13013/25}₂,₃  	3263.291	                          	        	3105  	-      	0
{15625/19}₂,₃  	3264.251	                          	        	3107  	-      	0
{2425}₂,₃      	3267.014	                          	        	3108  	-      	0
{95/61}₂,₃     	3273.102	                          	        	3110  	-      	0
{305/19}₂,₃    	3273.102	                          	        	3110  	-      	0
{1159/5}₂,₃    	3273.102	                          	        	3110  	-      	0
{83/77}₂,₃     	3274.401	                          	        	3112  	-      	0
{1147/25}₂,₃   	3274.614	                          	        	3113  	-      	0
{221/155}₂,₃   	3277.485	                          	        	3115  	-      	0
{403/85}₂,₃    	3277.485	                          	        	3115  	-      	0
{527/65}₂,₃    	3277.485	                          	        	3115  	-      	0
{989/25}₂,₃    	3281.404	                          	        	3117  	-      	0
{24871}₂,₃     	3281.590	                          	        	3118  	-      	0
{1369/7}₂,₃    	3283.065	                          	        	3119  	-      	0
{253/145}₂,₃   	3283.534	                          	        	3121  	-      	0
{319/115}₂,₃   	3283.534	                          	        	3121  	-      	0
{667/55}₂,₃    	3283.534	                          	        	3121  	-      	0
{127/11}₂,₃    	3285.537	                          	        	3123  	-      	0
{3703/25}₂,₃   	3285.841	                          	        	3124  	-      	0
{589/175}₂,₃   	3287.371	                          	        	3125  	-      	0
{16807/13}₂,₃  	3287.480	                          	        	3126  	-      	0
{845/29}₂,₃    	3290.023	                          	        	3127.5	-      	0
{4901/5}₂,₃    	3290.023	                          	        	3127.5	-      	0
{161/47}₂,₃    	3293.046	                          	        	3130  	-      	0
{329/23}₂,₃    	3293.046	                          	        	3130  	-      	0
{1081/7}₂,₃    	3293.046	                          	        	3130  	-      	0
{1501}₂,₃      	3293.861	                          	        	3132  	-      	0
{9317/125}₂,₃  	3294.978	                          	        	3133  	-      	0
{665/169}₂,₃   	3295.239	                          	        	3135.5	-      	0
{845/133}₂,₃   	3295.239	                          	        	3135.5	-      	0
{1183/95}₂,₃   	3295.239	                          	        	3135.5	-      	0
{3211/35}₂,₃   	3295.239	                          	        	3135.5	-      	0
{385/43}₂,₃    	3295.671	                          	        	3139.5	-      	0
{1505/11}₂,₃   	3295.671	                          	        	3139.5	-      	0
{2365/7}₂,₃    	3295.671	                          	        	3139.5	-      	0
{3311/5}₂,₃    	3295.671	                          	        	3139.5	-      	0
{7657}₂,₃      	3296.764	                          	        	3142  	-      	0
{847/29}₂,₃    	3297.810	                          	        	3143.5	-      	0
{3509/7}₂,₃    	3297.810	                          	        	3143.5	-      	0
{2695/23}₂,₃   	3300.127	                          	        	3146  	-      	0
{5635/11}₂,₃   	3300.127	                          	        	3146  	-      	0
{12397/5}₂,₃   	3300.127	                          	        	3146  	-      	0
{289/161}₂,₃   	3302.985	                          	        	3148  	-      	0
{931/121}₂,₃   	3303.039	                          	        	3149.5	-      	0
{2299/49}₂,₃   	3303.039	                          	        	3149.5	-      	0
{533/49}₂,₃    	3304.929	                          	        	3151  	-      	0
{505/7}₂,₃     	3305.880	                          	        	3152.5	-      	0
{707/5}₂,₃     	3305.880	                          	        	3152.5	-      	0
{425/41}₂,₃    	3307.523	                          	        	3154.5	-      	0
{1025/17}₂,₃   	3307.523	                          	        	3154.5	-      	0
{625/361}₂,₃   	3307.774	                          	        	3156  	-      	0
{97/19}₂,₃     	3310.574	                          	        	3157  	604.5  	1
{1105/343}₂,₃  	3314.432	                          	        	3158  	-      	0
{4505}₂,₃      	3316.181	                          	        	3159  	-      	0
{625/299}₂,₃   	3316.454	                          	        	3160  	-      	0
{875/289}₂,₃   	3317.033	                          	        	3161  	-      	0
{2717/125}₂,₃  	3319.380	                          	        	3162  	-      	0
{325/47}₂,₃    	3323.727	                          	        	3163.5	-      	0
{1175/13}₂,₃   	3323.727	                          	        	3163.5	-      	0
{3125/637}₂,₃  	3327.948	                          	        	3165  	-      	0
{287/275}₂,₃   	3329.141	                          	        	3166.5	-      	0
{451/175}₂,₃   	3329.141	                          	        	3166.5	-      	0
{6875/343}₂,₃  	3335.825	                          	        	3168  	-      	0
{25289}₂,₃     	3336.743	                          	        	3169  	-      	0
{917}₂,₃       	3336.861	                          	        	3170  	-      	0
{147875}₂,₃    	3337.457	                          	        	3171  	-      	0
{265/77}₂,₃    	3337.855	                          	        	3173  	-      	0
{371/55}₂,₃    	3337.855	                          	        	3173  	-      	0
{583/35}₂,₃    	3337.855	                          	        	3173  	-      	0
{5863}₂,₃      	3338.653	                          	        	3175  	-      	0
{1715/29}₂,₃   	3338.692	                          	        	3176.5	-      	0
{9947/5}₂,₃    	3338.692	                          	        	3176.5	-      	0
{103/17}₂,₃    	3339.870	                          	        	3178  	604.5  	1
{713/49}₂,₃    	3342.738	                          	        	3179  	-      	0
{2401/95}₂,₃   	3343.985	                          	        	3180  	-      	0
{703/125}₂,₃   	3345.036	                          	        	3181  	-      	0
{5005/17}₂,₃   	3348.252	                          	        	3184  	-      	0
{6545/13}₂,₃   	3348.252	                          	        	3184  	-      	0
{7735/11}₂,₃   	3348.252	                          	        	3184  	-      	0
{12155/7}₂,₃   	3348.252	                          	        	3184  	-      	0
{17017/5}₂,₃   	3348.252	                          	        	3184  	-      	0
{2905}₂,₃      	3348.819	                          	        	3187  	-      	0
{427/125}₂,₃   	3349.666	                          	        	3188  	-      	0
{79/29}₂,₃     	3351.648	                          	        	3189  	-      	0
{377/31}₂,₃    	3354.602	                          	        	3191  	-      	0
{403/29}₂,₃    	3354.602	                          	        	3191  	-      	0
{899/13}₂,₃    	3354.602	                          	        	3191  	-      	0
{2279}₂,₃      	3355.194	                          	        	3193  	-      	0
{16675}₂,₃     	3358.160	                          	        	3194  	-      	0
{391/121}₂,₃   	3358.497	                          	        	3195  	-      	0
{3965}₂,₃      	3359.236	                          	        	3196  	-      	0
{437/325}₂,₃   	3360.674	                          	        	3197  	-      	0
{34375/13}₂,₃  	3361.907	                          	        	3198.5	-      	0
{40625/11}₂,₃  	3361.907	                          	        	3198.5	-      	0
{75625/7}₂,₃   	3369.864	                          	        	3200  	-      	0
{553/25}₂,₃    	3370.910	                          	        	3201  	-      	0
{2125/121}₂,₃  	3372.782	                          	        	3202  	-      	0
{89/23}₂,₃     	3373.759	                          	        	3203  	186.5  	5
{325/217}₂,₃   	3373.881	                          	        	3205  	-      	0
{775/91}₂,₃    	3373.881	                          	        	3205  	-      	0
{2821/25}₂,₃   	3373.881	                          	        	3205  	-      	0
{8381}₂,₃      	3375.681	                          	        	3207  	-      	0
{7843}₂,₃      	3376.847	                          	        	3208  	-      	0
{217/41}₂,₃    	3377.565	                          	        	3210  	-      	0
{287/31}₂,₃    	3377.565	                          	        	3210  	-      	0
{1271/7}₂,₃    	3377.565	                          	        	3210  	-      	0
{191/5}₂,₃     	3377.870	                          	        	3212  	-      	0
{51205}₂,₃     	3378.108	                          	        	3213  	-      	0
{2023/19}₂,₃   	3381.032	                          	        	3214.5	-      	0
{5491/7}₂,₃    	3381.032	                          	        	3214.5	-      	0
{5945}₂,₃      	3385.347	                          	        	3216  	-      	0
{2197/77}₂,₃   	3393.823	                          	        	3217  	-      	0
{335/49}₂,₃    	3394.460	                          	        	3218  	-      	0
{8125/19}₂,₃   	3394.821	                          	        	3219.5	-      	0
{11875/13}₂,₃  	3394.821	                          	        	3219.5	-      	0
{215/119}₂,₃   	3395.540	                          	        	3222  	-      	0
{301/85}₂,₃    	3395.540	                          	        	3222  	-      	0
{731/35}₂,₃    	3395.540	                          	        	3222  	-      	0
{1261}₂,₃      	3397.694	                          	        	3224  	-      	0
{203/187}₂,₃   	3397.744	                          	        	3226  	-      	0
{319/119}₂,₃   	3397.744	                          	        	3226  	-      	0
{493/77}₂,₃    	3397.744	                          	        	3226  	-      	0
{833/115}₂,₃   	3400.131	                          	        	3229  	-      	0
{1127/85}₂,₃   	3400.131	                          	        	3229  	-      	0
{1955/49}₂,₃   	3400.131	                          	        	3229  	-      	0
{185/161}₂,₃   	3401.373	                          	        	3232  	-      	0
{259/115}₂,₃   	3401.373	                          	        	3232  	-      	0
{851/35}₂,₃    	3401.373	                          	        	3232  	-      	0
{437/29}₂,₃    	3402.935	                          	        	3235  	-      	0
{551/23}₂,₃    	3402.935	                          	        	3235  	-      	0
{667/19}₂,₃    	3402.935	                          	        	3235  	-      	0
{1679}₂,₃      	3404.639	                          	        	3237  	-      	0
{875/41}₂,₃    	3404.803	                          	        	3238.5	-      	0
{5125/7}₂,₃    	3404.803	                          	        	3238.5	-      	0
{67/41}₂,₃     	3408.315	                          	        	3240  	217.5  	4
{9275}₂,₃      	3413.715	                          	        	3241  	-      	0
{10625/49}₂,₃  	3414.593	                          	        	3242  	-      	0
{5719}₂,₃      	3415.514	                          	        	3243  	-      	0
{539/37}₂,₃    	3416.162	                          	        	3244.5	-      	0
{1813/11}₂,₃   	3416.162	                          	        	3244.5	-      	0
{59/53}₂,₃     	3416.537	                          	        	3246  	604.5  	1
{529/91}₂,₃    	3417.275	                          	        	3247  	-      	0
{21413}₂,₃     	3420.132	                          	        	3248  	-      	0
{785}₂,₃       	3423.472	                          	        	3249  	-      	0
{149/25}₂,₃    	3426.080	                          	        	3250  	-      	0
{3685}₂,₃      	3429.097	                          	        	3251  	-      	0
{3479}₂,₃      	3430.681	                          	        	3252  	-      	0
{21505}₂,₃     	3434.826	                          	        	3253  	-      	0
{2057/19}₂,₃   	3437.856	                          	        	3254.5	-      	0
{2299/17}₂,₃   	3437.856	                          	        	3254.5	-      	0
